Index,Rented Bike Count
0,1918.906
1,1324.598
2,2437.196
3,1367.278
4,305.108
5,759.29
6,87.65
7,781.358
8,1207.62
9,136.814
10,252.974
11,262.108
12,1844.212
13,160.192
14,111.856
15,236.994
16,872.808
17,1027.784
18,2264.958
19,204.246
20,95.102
21,928.794
22,240.288
23,446.884
24,259.064
25,1059.798
26,239.338
27,973.976
28,252.326
29,158.976
30,219.946
31,145.43
32,74.108
33,426.754
34,420.674
35,1352.502
36,1758.49
37,93.414
38,1567.636
39,1579.618
40,84.93
41,236.292
42,702.724
43,200.216
44,593.23
45,841.536
46,223.878
47,665.77
48,1404.628
49,277.61
50,1757.226
51,376.576
52,201.738
53,479.12
54,236.092
55,192.864
56,911.06
57,821.46
58,259.852
59,180.5
60,1575.738
61,775.272
62,510.652
63,199.626
64,60.732
65,275.226
66,77.76
67,1756.4
68,878.06
69,181.014
70,1320.46
71,764.032
72,108.616
73,1867.288
74,628.466
75,1694.964
76,993.068
77,1474.568
78,341.478
79,465.53
80,170.28
81,259.352
82,222.952
83,706.616
84,889.54
85,334.586
86,87.086
87,2256.938
88,262.86
89,1190.52
90,672.708
91,47.916
92,809.03
93,957.652
94,939.148
95,2194.68
96,185.186
97,1008.766
98,632.598
99,188.58
100,397.342
101,951.05
102,418.264
103,236.06
104,294.468
105,1490.638
106,655.66
107,2301.044
108,95.044
109,978.506
110,194.306
111,331.086
112,936.17
113,604.276
114,1308.062
115,302.754
116,1416.374
117,1169.902
118,100.142
119,96.312
120,308.158
121,203.49
122,258.436
123,729.382
124,1391.644
125,244.77
126,1241.922
127,1035.258
128,27.614
129,239.14
130,121.03
131,1463.13
132,114.052
133,1250.39
134,938.964
135,315.564
136,1276.108
137,907.988
138,149.57
139,256.158
140,549.94
141,380.786
142,735.09
143,989.01
144,319.464
145,1300.728
146,174.856
147,162.836
148,72.832
149,400.512
150,133.076
151,938.298
152,245.784
153,1213.022
154,181.666
155,1366.38
156,296.348
157,88.28
158,345.632
159,333.416
160,101.774
161,225.548
162,76.512
163,876.158
164,591.96
165,1924.326
166,332.214
167,530.424
168,158.666
169,1284.202
170,771.73
171,130.396
172,718.564
173,297.232
174,350.864
175,336.738
176,573.242
177,313.302
178,62.998
179,2735.156
180,849.562
181,1103.066
182,165.756
183,1720.588
184,381.9
185,321.29
186,1969.248
187,804.262
188,245.13
189,918.28
190,154.936
191,72.036
192,1228.466
193,336.548
194,777.916
195,198.422
196,202.832
197,74.808
198,169.946
199,90.27
200,1395.394
201,919.034
202,197.504
203,118.344
204,880.544
205,1378.218
206,978.336
207,75.98
208,1346.382
209,127.756
210,1579.71
211,249.358
212,134.252
213,903.13
214,400.08
215,307.844
216,911.79
217,1230.95
218,1257.578
219,881.844
220,1112.806
221,369.538
222,1046.16
223,529.308
224,341.736
225,1304.556
226,704.174
227,71.27
228,772.858
229,1395.444
230,93.036
231,762.786
232,255.578
233,105.32
234,1054.362
235,122.882
236,405.686
237,614.05
238,1147.95
239,1038.586
240,503.256
241,1199.058
242,281.278
243,1546.768
244,491.374
245,151.168
246,681.544
247,723.326
248,890.048
249,1997.586
250,1244.79
251,215.012
252,617.138
253,1117.834
254,121.45
255,872.68
256,979.208
257,760.148
258,261.168
259,149.458
260,1731.64
261,348.606
262,801.976
263,75.338
264,1159.414
265,1080.922
266,455.804
267,856.212
268,1637.058
269,148.658
270,1096.918
271,527.898
272,1694.646
273,464.542
274,1736.336
275,779.742
276,1492.904
277,741.204
278,770.406
279,2603.846
280,820.162
281,1752.596
282,70.198
283,544.49
284,1282.456
285,88.42
286,173.252
287,1465.2
288,828.884
289,401.712
290,1126.968
291,99.52
292,1985.916
293,22.61
294,683.66
295,225.768
296,788.638
297,107.886
298,483.652
299,239.402
300,318.298
301,432.29
302,877.41
303,383.326
304,178.108
305,135.146
306,721.48
307,779.046
308,227.782
309,1249.32
310,661.628
311,1557.896
312,178.266
313,1312.934
314,1234.922
315,288.94
316,773.228
317,321.286
318,150.962
319,375.078
320,581.002
321,683.246
322,1903.778
323,315.278
324,882.4
325,2532.614
326,49.336
327,196.512
328,286.378
329,429.44
330,823.298
331,1558.114
332,163.642
333,1017.72
334,653.874
335,1154.776
336,572.758
337,199.204
338,423.39
339,576.408
340,556.754
341,912.934
342,921.982
343,749.852
344,707.386
345,376.098
346,65.398
347,1179.87
348,1000.906
349,497.07
350,1370.8
351,1372.978
352,767.012
353,343.93
354,934.05
355,263.36
356,927.528
357,2339.932
358,109.296
359,1491.316
360,440.968
361,1272.7
362,135.42
363,110.716
364,431.572
365,103.838
366,326.598
367,136.842
368,283.96
369,1100.448
370,1960.184
371,741.368
372,1005.832
373,171.388
374,1085.198
375,1106.87
376,914.492
377,1149.384
378,432.494
379,496.166
380,136.734
381,831.494
382,1638.904
383,1582.884
384,554.616
385,200.234
386,185.264
387,1865.878
388,1769.57
389,118.13
390,268.864
391,531.81
392,1278.684
393,925.826
394,905.852
395,431.428
396,288.078
397,169.926
398,474.524
399,948.244
400,883.224
401,210.202
402,1981.702
403,1262.716
404,925.132
405,1687.588
406,345.526
407,823.088
408,136.93
409,294.202
410,1142.656
411,1209.98
412,100.434
413,78.376
414,1511.61
415,207.548
416,1607.518
417,234.896
418,69.61
419,263.074
420,1188.854
421,617.474
422,249.722
423,229.676
424,1325.478
