Index,Rented Bike Count
0,1870.58
1,1413.0109
2,2381.0093
3,1271.1229
4,290.86588
5,627.4386
6,831.569
7,559.1536
8,1074.2759
9,194.5789
10,233.14645
11,201.91216
12,2026.019
13,106.91206
14,4.7032757
15,178.36224
16,647.0941
17,814.79553
18,2417.5093
19,50.468113
20,636.90393
21,967.5972
22,342.56848
23,384.14005
24,201.37924
25,865.0566
26,190.39546
27,1012.8859
28,432.45132
29,68.60649
30,403.37384
31,80.301125
32,154.8279
33,286.84296
34,412.57617
35,1388.5602
36,1849.8905
37,73.5913
38,1325.5638
39,1379.7384
40,100.84843
41,469.7562
42,626.3023
43,375.69394
44,582.86145
45,900.8544
46,147.25175
47,818.6094
48,1284.6295
49,610.4542
50,1783.1708
51,330.73
52,319.8353
53,484.92978
54,332.48264
55,251.82803
56,504.39954
57,749.0633
58,222.06647
59,273.77588
60,1662.0276
61,631.7231
62,487.83585
63,314.34808
64,66.81269
65,195.44441
66,88.64798
67,1708.1498
68,940.2448
69,389.91885
70,1390.4015
71,697.0972
72,184.72673
73,1971.2274
74,496.35242
75,1709.2385
76,656.3751
77,1493.5593
78,436.0923
79,302.12537
80,367.38928
81,1435.5752
82,284.47513
83,518.8491
84,474.71448
85,201.83437
86,116.155594
87,2532.1128
88,1510.9636
89,648.6416
90,641.5292
91,36.839592
92,690.8161
93,834.2119
94,800.2771
95,2100.9016
96,182.34213
97,920.87897
98,566.43225
99,178.36708
100,469.20483
101,852.7371
102,530.6258
103,74.5812
104,251.09874
105,239.26372
106,788.75653
107,2485.6746
108,1540.4442
109,882.8153
110,166.46373
111,420.91632
112,882.30707
113,579.8933
114,1426.235
115,177.92534
116,1417.919
117,772.64075
118,1019.8258
119,109.67923
120,181.14044
121,342.79318
122,262.74628
123,635.7931
124,1294.998
125,374.14395
126,1124.1237
127,978.67426
128,0.0
129,301.7332
130,860.2599
131,1509.7755
132,147.80792
133,1205.7554
134,951.1061
135,638.3671
136,1389.7823
137,156.43849
138,206.06767
139,248.80356
140,527.14246
141,347.55743
142,589.98254
143,977.19244
144,205.36568
145,1341.0588
146,125.731346
147,962.9311
148,51.387386
149,325.16876
150,204.77515
151,733.9843
152,201.82341
153,1190.5092
154,275.6673
155,964.92175
